 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 302.58 sec)
0.010	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.017	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.017	                       -	                   -	Blocking app contact
0.052	                       -	                   -	Successfully read encryption key from keychain in 0.041834 seconds
0.267	                       -	                   -	server_show_windows_for_asns start
0.274	                       -	                   -	Allowing apps to contact us
0.276	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.276	                       -	                   -	Still waiting for registration from Finder
0.277	                       -	                   -	Liveness: 2 -> 3 (add_app)
0.277	                       -	                   -	Finder not yet launched, but pretending it is
0.284	                       -	                   -	_LSSetApplicationInformationItem(kLSDefaultSessionID, asn, _kLSApplicationIsHiddenKey, hidden ? kCFBooleanTrue : kCFBooleanFalse, NULL) produced OSStatus -50 on line 675 in TCApplication.m
0.284	                       -	                   -	_LSSetApplicationInformationItem(kLSDefaultSessionID, asn, TAL_kLSIsProxiedForTALKey, kCFBooleanTrue, NULL) produced OSStatus -50 on line 678 in TCApplication.m
0.305	                       -	                   -	loginwindow launched no apps (but we still have to handle Finder)
0.306	                       -	                   -	Bitmaps Ready (0 apps, 0 windows)
0.307	        com.apple.finder	                   -	Disposing because it has no windows
0.308	        com.apple.finder	            Disposed	
0.308	                       -	                   -	server_show_windows_for_asns end
0.308	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.308	                       -	                   -	Still waiting for registration from Finder
0.309	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.309	                       -	                   -	Still waiting for registration from Finder
0.347	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.348	                       -	                   -	Still waiting for registration from Finder
0.875	        com.apple.finder	                   -	Finder checked in
0.875	                       -	                   -	All started apps have registered (no remaining unregistered apps)
0.876	                       -	                   -	TAL Relaunch - all apps registered as ready
2.308	                       -	                   -	Liveness: 3 -> 2 (__remove_app_block_invoke)
3.017	                       -	                   -	Liveness: 2 -> 1 (__create_xpc_listener_block_invoke)
15.010	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
15.010	                       -	                   -	Exiting out of boredom
